Name;Team;Cl;Position;G;Solo Tack;Asst Tack;TT;FF;Int;Int Ret Yds;Int Ret TDs;Rejected/Blocked;Targeted;Rank;Solo Sack;Asst Sack;Sack Yds;Tot Sack
Martez Manuel;Missouri;Jr.;DB;12;60.0;17.0;77.0;;;;;;;;;;;
Micah McFadden;Indiana;Sr.;LB;12;49.0;28.0;77.0;;;;;;;;;;;
Lummie Young IV;Duke;Sr.;DB;10;31.0;33.0;64.0;;;;;;;;;;;
Angelo Grose;Michigan St.;So.;DB;13;60.0;23.0;83.0;;;;;;;;;;;
Quadric Bullard;UCF;So.;DB;13;59.0;24.0;83.0;;;;;;;;;;;
Jordan Mosley;Maryland;Sr.;DB;13;56.0;27.0;83.0;;;;;;;;;;;
Eric Monroe;Texas Tech;Sr.;DB;13;44.0;39.0;83.0;;;;;;;;;;;
Terry Myrick;Eastern Mich.;Sr.;LB;13;39.0;44.0;83.0;;;;;;;;;;;
Carson Bruener;Washington;Fr.;LB;11;48.0;22.0;70.0;;;;;;;;;;;
Jack Koerner;Iowa;Sr.;DB;14;62.0;27.0;89.0;;;;;;;;;;;
Patrick McMorris;San Diego St.;Jr.;DB;14;53.0;36.0;89.0;;;;;;;;;;;
Kenderick Duncan;Louisville;Jr.;DB;12;52.0;24.0;76.0;;;;;;;;;;;
Daniel Jackson;FIU;Sr.;LB;12;37.0;39.0;76.0;;;;;;;;;;;
Da'Shon Ross;Massachusetts;So.;LB;12;30.0;46.0;76.0;;;;;;;;;;;
Sione Tupou;Texas St.;Jr.;LB;12;20.0;56.0;76.0;;;;;;;;;;;
Jon Alexander;Charlotte;Sr.;DB;9;32.0;25.0;57.0;;;;;;;;;;;
Antavious Lane;Georgia St.;So.;DB;13;60.0;22.0;82.0;;;;;;;;;;;
Rashad Wisdom;UTSA;Jr.;S;14;67.0;21.0;88.0;;;;;;;;;;;
Sean Mahone;West Virginia;Sr.;S;13;54.0;27.0;81.0;;;;;;;;;;;
Gage Kreski;Central Mich.;Sr.;DB;13;51.0;30.0;81.0;;;;;;;;;;;
Yusuf Corker;Kentucky;Sr.;S;13;44.0;37.0;81.0;;;;;;;;;;;
Marquel Broughton;Army West Point;Jr.;DB;13;36.0;45.0;81.0;;;;;;;;;;;
Yohance Burnett;Tulsa;Sr.;LB;13;35.0;46.0;81.0;;;;;;;;;;;
Nehemiah Shelton;San Jose St.;Sr.;DB;10;47.0;15.0;62.0;;;;;;;;;;;
TJ Carter;TCU;Sr.;S;10;46.0;16.0;62.0;;;;;;;;;;;
Ricky Miezan;Stanford;Sr.;LB;11;37.0;31.0;68.0;;;;;;;;;;;
Dee Winters;TCU;Jr.;LB;12;53.0;21.0;74.0;;;;;;;;;;;
Zion Childress;Texas St.;Fr.;S;12;41.0;33.0;74.0;;;;;;;;;;;
Sy Dabney;Bowling Green;Sr.;DB;12;40.0;34.0;74.0;;;;;;;;;;;
Luke Martin;Charlotte;Sr.;LB;12;31.0;43.0;74.0;;;;;;;;;;;
